word,old_frequency,new_frequency,old_sum_count,new_sum_count,city,Ofrequency,Nfrequency,freq,gain,licia_gain,cat
punctuality,1.3862943611198906,1.3862943611198906,426329.03884425946,1389642.0294634602,buenos_aires,3.251700528957663e-06,9.97590985107969e-07,2.124645757032816e-06,0.30679054735330996,1.0,business
punctuality,0.6931471805599453,0.0,462327.7718945457,781590.8291296656,rio,1.4992549067938063e-06,0.0,7.496274533969032e-07,0.0,0.0,business
email,27.843670258054168,280.97372523146953,84514.0564071704,2853026.5324875396,tokyo,0.00032945608626225916,9.848268918357726e-05,0.00021396938772291822,0.2989250868025592,10.09111667490007,business
email,13.862943611198906,85.72823535149891,43668.014642809925,731101.7502038936,belize,0.00031746219113905794,0.000117258966111886,0.00021736057862547196,0.3693635632361747,6.1839850002884695,business
email,61.80788210549155,64.29278875527956,87073.80064826667,687378.7602901421,santiago,0.0007098332867674351,9.353327811313461e-05,0.0004016832824402849,0.13176795151307016,1.0402037177968153,business
email,39.33949025512147,91.61321086956926,127663.46986001555,1754380.2429810097,taipei,0.000308149937474343,5.221970051025075e-05,0.0001801848189922969,0.16946198638965693,2.3287848997393263,business
email,18.42729180266674,73.59138417501065,66646.38555703015,1005817.8299164908,singapore,0.0002764934909620609,7.316571846923877e-05,0.00017482960471564983,0.2646200393892029,3.9936082286579264,business
email,10.802672816507345,23.567004139038122,38248.1365823982,359974.8375552003,beijing,0.00028243657813852133,6.546847634988998e-05,0.00017395252724420566,0.23179885828308294,2.1815901063879175,business
email,93.69265241124911,141.06222676063828,275248.1164482747,1793142.50649448,hong_kong,0.00034039343709316925,7.866760519575722e-05,0.00020953052114446323,0.2311078787756565,1.505584729755199,business
email,74.57221342802238,231.9177519285101,183693.4666221797,3037567.0604034513,mexico_city,0.0004059600746792064,7.634983765517482e-05,0.0002411549561671906,0.18807228202307136,3.109975435453029,business
email,267.09835910027203,124.70195397965279,426329.03884425946,1389642.0294634602,buenos_aires,0.0006265075440893077,8.97367461084925e-05,0.00035812214509890007,0.14323330493798597,0.4668765259349202,business
email,189.53041339869554,60.13390567191987,462327.7718945457,781590.8291296656,rio,0.0004099481470084093,7.693783426154259e-05,0.00024344299063497592,0.1876769899388382,0.317278396609743,business
generosity,2.772588722239781,18.714973875118517,84514.0564071704,2853026.5324875396,tokyo,3.280624360144365e-05,6.559691493230182e-06,1.9682967547336913e-05,0.19995253260088336,6.749999999999998,business
generosity,2.0794415416798357,6.931471805599453,127663.46986001555,1754380.2429810097,taipei,1.6288461718610398e-05,3.950951815224291e-06,1.0119706766917344e-05,0.242561383848183,3.3333333333333335,business
generosity,1.3862943611198906,5.545177444479562,66646.38555703015,1005817.8299164908,singapore,2.0800743349144135e-05,5.5131031480521245e-06,1.315692324859813e-05,0.2650435638531623,4.0,business
generosity,1.3862943611198906,2.0794415416798357,38248.1365823982,359974.8375552003,beijing,3.624475556170921e-05,5.7766302661667674e-06,2.1010692913937986e-05,0.1593783756199336,1.5,business
generosity,2.0794415416798357,5.950642552587727,275248.1164482747,1793142.50649448,hong_kong,7.554789360640764e-06,3.3185552910800095e-06,5.436672325860387e-06,0.4392650982923691,2.8616541669070523,business
generosity,6.238324625039508,32.57791748631739,183693.4666221797,3037567.0604034513,mexico_city,3.396051443609848e-05,1.0725003543457696e-05,2.2342758989778088e-05,0.31580804123678136,5.222222222222216,business
generosity,7.6246189861593985,11.090354888959125,426329.03884425946,1389642.0294634602,buenos_aires,1.7884352909267148e-05,7.980727880863752e-06,1.293254039506545e-05,0.446240796150269,1.4545454545454546,business
generosity,7.6246189861593985,8.317766166719343,462327.7718945457,781590.8291296656,rio,1.649180397473187e-05,1.0642097958060137e-05,1.3566950966396004e-05,0.6452961710171649,1.0909090909090908,business
discrete,0.6931471805599453,2.0794415416798357,84514.0564071704,2853026.5324875396,tokyo,8.201560900360912e-06,7.288546103589093e-07,4.4652077553599106e-06,0.08886779226705929,3.0,business
discrete,2.772588722239781,1.3862943611198906,127663.46986001555,1754380.2429810097,taipei,2.17179489581472e-05,7.901903630448582e-07,1.1254069660596028e-05,0.03638420757722744,0.5,business
discrete,0.6931471805599453,7.6246189861593985,183693.4666221797,3037567.0604034513,mexico_city,3.773390492899831e-06,2.5101072122986124e-06,3.1417488525992217e-06,0.6652126826051359,11.0,business
discrete,1.3862943611198906,2.772588722239781,426329.03884425946,1389642.0294634602,buenos_aires,3.251700528957663e-06,1.995181970215938e-06,2.6234412495868005e-06,0.6135810947066199,2.0,business
discrete,5.545177444479562,6.238324625039508,462327.7718945457,781590.8291296656,rio,1.199403925435045e-05,7.981573468545102e-06,9.987806361447775e-06,0.6654616763614513,1.125,business
arrival,26.745057969386064,780.1721578170254,84514.0564071704,2853026.5324875396,tokyo,0.00031645691978780636,0.0002734542244641508,0.0002949555721259786,0.864112008192173,29.17070356362867,business
arrival,34.892925099310006,344.4691348039112,43668.014642809925,731101.7502038936,belize,0.0007990499541763627,0.00047116442370414755,0.0006351071889402551,0.5896557796437271,9.872177062355913,business
arrival,108.77199134677257,333.7706939896819,87073.80064826667,687378.7602901421,santiago,0.001249193104435115,0.00048557027547490336,0.0008673816899550092,0.38870713723197997,3.0685352898026665,business
arrival,117.49522262160008,563.099307266122,127663.46986001555,1754380.2429810097,taipei,0.0009203511603627485,0.0003209676519779511,0.0006206594061703498,0.34874476808552557,4.792529387170189,business
arrival,61.40241699738339,336.03358560153544,66646.38555703015,1005817.8299164908,singapore,0.0009213165347855296,0.00033408990734379307,0.0006277032210646613,0.36262228531648444,5.472644270922677,business
