word,cat_lev1,cat_lev2,cat_lev3,ndf
get,business,location,location,0.009998917085
away,business,location,location,0.009986884694
walking,business,location,location,0.009986884694
around,business,location,location,0.009986884694
minutes,business,location,location,0.009890625564
beach,business,location,location,0.009457459481
few,business,location,location,0.009926722738
convenient,business,location,location,0.00995078752
distance,business,location,location,0.009962819911
street,business,location,location,0.009890625564
town,business,location,location,0.009902657955
many,business,location,location,0.009902657955
shops,business,location,location,0.009866560782
central,business,location,location,0.009806398826
station,business,location,location,0.009601848175
metro,business,location,location,0.009433394699
downtown,business,location,location,0.00944542709
places,business,location,location,0.009842495999
lots,business,location,location,0.009734204478
centre,business,location,location,0.009216811657
within,business,location,location,0.009734204478
parking,business,location,location,0.009493556655
near,business,location,location,0.009794366434
access,business,location,location,0.009589815784
bus,business,location,location,0.009264941222
minute,business,location,location,0.009505589046
bars,business,location,location,0.009409329916
nearby,business,location,location,0.009517621437
park,business,location,location,0.009168682092
safe,business,location,location,0.009228844048
local,business,location,location,0.009409329916
center,business,location,location,0.009180714483
amenities,business,location,location,0.009264941222
car,business,location,location,0.00904835818
building,business,location,location,0.008831775139
far,business,location,location,0.009289006004
outside,business,location,location,0.00904835818
drive,business,location,location,0.00884380753
easily,business,location,location,0.008903969486
train,business,location,location,0.008555030141
cool,business,location,location,0.008374544273
airport,business,location,location,0.008073734493
stop,business,location,location,0.00803763732
subway,business,location,location,0.007556341672
heart,business,location,location,0.008194058405
still,business,location,location,0.008254220361
reach,business,location,location,0.007748859931
steps,business,location,location,0.007520244498
shopping,business,location,location,0.007917313408
transport,business,location,location,0.007387888195
attractions,business,location,location,0.007496179716
restaurant,business,location,location,0.007267564283
grocery,business,location,location,0.007520244498
foot,business,location,location,0.007231467109
neighbourhood,business,location,location,0.007087078415
road,business,location,location,0.007183337545
market,business,location,location,0.006858462982
corner,business,location,location,0.00693065733
transportation,business,location,location,0.006906592547
across,business,location,location,0.006774236244
centrally,business,location,location,0.007087078415
situated,business,location,location,0.00703894885
store,business,location,location,0.006677977114
sea,business,location,location,0.005799612557
cafes,business,location,location,0.006858462982
conveniently,business,location,location,0.006557653202
stores,business,location,location,0.006617815158
district,business,location,location,0.006064325163
supermarket,business,location,location,0.006172616684
walkable,business,location,location,0.006353102552
tram,business,location,location,0.004969377564
residential,business,location,location,0.005823677339
beaches,business,location,location,0.005270187344
village,business,location,location,0.004873118435
historic,business,location,location,0.004897183217
river,business,location,location,0.004415887569
taxi,business,location,location,0.005053604303
stops,business,location,location,0.00512579865
mins,business,location,location,0.004897183217
proximity,business,location,location,0.00512579865
shop,business,location,location,0.004897183217
spots,business,location,location,0.004885150826
sights,business,location,location,0.004632470611
facilities,business,location,location,0.004451984743
supermarkets,business,location,location,0.004115077789
stations,business,location,location,0.003910527139
transit,business,location,location,0.003826300401
served,business,location,location,0.003826300401
connected,business,location,location,0.003742073662
nightlife,business,location,location,0.003693944098
tube,business,location,location,0.002695255628
cafe,business,location,location,0.003296875188
typical,business,location,location,0.003272810406
bakery,business,location,location,0.002947935843
pubs,business,location,location,0.002996065408
reachable,business,location,location,0.002899806279
markets,business,location,location,0.002851676714
underground,business,location,location,0.002238024763
bakeries,business,location,location,0.001744696724
apartment,business,property,property_type,0.009998917085
house,business,property,property_type,0.009998917085
home,business,property,property_type,0.009998917085
flat,business,property,property_type,0.009613880566
private,business,property,property_type,0.009601848175
building,business,property,property_type,0.008831775139
pool,business,property,property_type,0.007279596674
property,business,property,property_type,0.008434706229
garden,business,property,property_type,0.007965442972
terrace,business,property,property_type,0.007279596674
cabin,business,property,property_type,0.004295563657
balcony,business,property,property_type,0.007399920586
apt,business,property,property_type,0.004909215608
appartment,business,property,property_type,0.004692632567
backyard,business,property,property_type,0.004692632567
roof,business,property,property_type,0.00332093997
gardens,business,property,property_type,0.002466640195
water,business,property,facilities,0.008759580791
hot,business,property,facilities,0.008458771012
wifi,business,property,facilities,0.008434706229
towels,business,property,facilities,0.008410641447
tv,business,property,facilities,0.007026916459
fridge,business,property,facilities,0.006786268635
internet,business,property,facilities,0.004909215608
facilities,business,property,facilities,0.004451984743
laundry,business,property,facilities,0.004115077789
sheets,business,property,facilities,0.003862397574
microwave,business,property,facilities,0.003284842797
