,index,0
0,pt,0.496440504214443
1,en,0.27214797377679906
2,es,0.17798111727035715
3,fr,0.02734009162933151
4,de,0.00671400005062394
5,it,0.005685701268129699
6,ro,0.002740020755815425
7,Nan,0.001787657883413066
8,ru,0.0012307945427392614
9,nl,0.0011706786139165212
10,ca,0.0009460348798947022
11,lt,0.0007245551421267118
12,ko,0.0004714354418204369
13,af,0.00046510744931278
14,so,0.0004397954792821525
15,sk,0.00036069557293644163
16,sv,0.00035436758042878475
17,tl,0.0003385475991596426
18,zh-cn,0.00033538360290581416
19,no,0.0002879236590983876
20,da,0.0002784316703369023
21,fi,0.00021198774900650516
22,id,0.00017718379021439238
23,ja,0.00017401979396056396
24,pl,0.00017085579770673552
25,cs,0.00012972384640696586
26,cy,0.00012655985015313742
27,hu,0.00012339585389930897
28,sw,0.00010124788012250993
29,hr,0.00010124788012250993
30,vi,8.542789885336776e-05
31,sl,8.542789885336776e-05
32,tr,8.226390259953932e-05
33,et,5.695193256891184e-05
34,he,3.796795504594123e-05
35,sq,2.2147973776799047e-05
36,lv,1.8983977522970614e-05
37,bg,1.8983977522970614e-05
38,el,1.5819981269142177e-05
39,uk,9.491988761485307e-06
40,ar,3.1639962538284355e-06
41,zh-tw,3.1639962538284355e-06
42,mk,3.1639962538284355e-06
