,index,0
0,es,0.5194175342928494
1,en,0.24319873565853128
2,pt,0.19261301258309305
3,fr,0.015617271290521059
4,de,0.006997309655080892
5,ro,0.004934309739531181
6,it,0.0029075028049560256
7,Nan,0.0028954384779645067
8,ko,0.0021052250600200268
9,ca,0.0012667543341094718
10,sk,0.0009591139958257429
11,zh-cn,0.0009410175053384647
12,nl,0.0008927601973723896
13,so,0.0006213128400632171
14,id,0.0005549590416098638
15,af,0.00047654091616499176
16,ru,0.00042828360819891664
17,tl,0.00036796197324132275
18,ja,0.000355897646249804
19,sv,0.0002955760112922101
20,cy,0.00028351168430069127
21,fi,0.0002654151938134131
22,lt,0.0002231900493430974
23,pl,0.0002231900493430974
24,no,0.00019906139536005985
25,da,0.00017493274137702228
26,sl,0.00013873976040246596
27,vi,0.0001146111064194284
28,cs,9.048245243639083e-05
29,lv,7.841812544487205e-05
30,tr,7.238596194911267e-05
31,hu,6.635379845335327e-05
32,sw,6.635379845335327e-05
33,et,4.8257307966075116e-05
34,hr,4.8257307966075116e-05
35,zh-tw,3.0160817478796945e-05
36,he,6.0321634957593895e-06
37,bg,6.0321634957593895e-06
38,ar,6.0321634957593895e-06
39,el,6.0321634957593895e-06
40,th,6.0321634957593895e-06
